segment,model,feature,importance
Active_Customers,Decision Tree,num__Call Failure,0.0
Active_Customers,Decision Tree,bin__Complaints,0.0
Active_Customers,Decision Tree,bin__Tariff Plan,0.0
Active_Customers,Decision Tree,ord__Charge Amount,0.23580870998713246
Active_Customers,Random Forest,Distinct Called Numbers,0.19823150398680892
Active_Customers,Random Forest,Seconds of Use,0.19405126497968825
Active_Customers,Random Forest,Complaints,0.1619544471291704
Active_Customers,Random Forest,Customer Value,0.14452331259144385
Active_Customers,Random Forest,Subscription Length,0.08982166205682199
Active_Customers,Random Forest,Frequency of SMS,0.08849144842192672
Active_Customers,Random Forest,Frequency of use,0.07325058233008981
Active_Customers,Random Forest,Age,0.0249023198172004
Active_Customers,Random Forest,Call Failure,0.01772142836588248
Active_Customers,Random Forest,Charge Amount,0.0036463803735489984
Active_Customers,Random Forest,Tariff Plan,0.0034056499474182734
Inactive_Customers,Logistic Regression,num__Subscription Length,0.28508348609939077
Inactive_Customers,Logistic Regression,num__Seconds of Use,0.7089763595487263
Inactive_Customers,Logistic Regression,num__Frequency of use,-2.7136713039646847
Inactive_Customers,Logistic Regression,num__Frequency of SMS,-0.5894724126637457
Inactive_Customers,Logistic Regression,num__Distinct Called Numbers,1.1766962557012837
Inactive_Customers,Logistic Regression,num__Age,0.35986610815765147
Inactive_Customers,Logistic Regression,num__Customer Value,-0.18534086368031696
Inactive_Customers,Logistic Regression,num__Call Failure,1.495639519706443
Inactive_Customers,Logistic Regression,bin__Complaints,2.7766049855697092
Inactive_Customers,Logistic Regression,bin__Tariff Plan,0.03420820500817991
Inactive_Customers,Logistic Regression,ord__Charge Amount,0.0
Inactive_Customers,Decision Tree,num__Subscription Length,0.0
Inactive_Customers,Decision Tree,num__Seconds of Use,0.5203838341898118
Inactive_Customers,Decision Tree,num__Frequency of use,0.1459820464935968
Inactive_Customers,Decision Tree,num__Frequency of SMS,0.0
Inactive_Customers,Decision Tree,num__Distinct Called Numbers,0.17502066345866957
Inactive_Customers,Decision Tree,num__Age,0.04480358197539491
Inactive_Customers,Decision Tree,num__Customer Value,0.0
Inactive_Customers,Decision Tree,num__Call Failure,0.07691948708703511
Inactive_Customers,Decision Tree,bin__Complaints,0.0
Inactive_Customers,Decision Tree,bin__Tariff Plan,0.036890386795491746
Inactive_Customers,Decision Tree,ord__Charge Amount,0.0
Inactive_Customers,Random Forest,Complaints,0.2862942098799222
Inactive_Customers,Random Forest,Seconds of Use,0.15873862531379332
Inactive_Customers,Random Forest,Distinct Called Numbers,0.13914753004998598
Inactive_Customers,Random Forest,Subscription Length,0.12353806219134053
Inactive_Customers,Random Forest,Call Failure,0.09516214190809703
Inactive_Customers,Random Forest,Frequency of use,0.08876812133025279
Inactive_Customers,Random Forest,Customer Value,0.06229669980836349
Inactive_Customers,Random Forest,Age,0.0296813681430248
Inactive_Customers,Random Forest,Frequency of SMS,0.016373241375219907
Inactive_Customers,Random Forest,Tariff Plan,0.0
Inactive_Customers,Random Forest,Charge Amount,0.0
All_Customers,Logistic Regression,num__Subscription Length,-0.345071503023987
All_Customers,Logistic Regression,num__Seconds of Use,0.4981117599571894
All_Customers,Logistic Regression,num__Frequency of use,-1.5945881314115704
All_Customers,Logistic Regression,num__Frequency of SMS,-1.5897524984019176
All_Customers,Logistic Regression,num__Distinct Called Numbers,-0.5680742025318031
All_Customers,Logistic Regression,num__Age,-0.08988945876000641
All_Customers,Logistic Regression,num__Customer Value,0.20615697587165863
All_Customers,Logistic Regression,num__Call Failure,0.9950903729014157
All_Customers,Logistic Regression,bin__Complaints,3.8595600115511184
All_Customers,Logistic Regression,bin__Tariff Plan,0.061250752796003984
All_Customers,Logistic Regression,bin__Status,1.467931577112117
All_Customers,Logistic Regression,ord__Charge Amount,-0.7129410773116758
All_Customers,Decision Tree,num__Subscription Length,0.0
All_Customers,Decision Tree,num__Seconds of Use,0.2720865289449555
All_Customers,Decision Tree,num__Frequency of use,0.08150737815252694
All_Customers,Decision Tree,num__Frequency of SMS,0.0
All_Customers,Decision Tree,num__Distinct Called Numbers,0.009600842798649376
All_Customers,Decision Tree,num__Age,0.08858673505112909
All_Customers,Decision Tree,num__Customer Value,0.014124300888085715
All_Customers,Decision Tree,num__Call Failure,0.0
All_Customers,Decision Tree,bin__Complaints,0.0
All_Customers,Decision Tree,bin__Tariff Plan,0.5340942141646534
All_Customers,Decision Tree,bin__Status,0.0
All_Customers,Decision Tree,ord__Charge Amount,0.0
All_Customers,Random Forest,Status,0.27430964185640333
All_Customers,Random Forest,Complaints,0.19027633241323808
All_Customers,Random Forest,Seconds of Use,0.11577185082390631
All_Customers,Random Forest,Customer Value,0.10955922651605948
All_Customers,Random Forest,Frequency of use,0.10936043038921701
All_Customers,Random Forest,Distinct Called Numbers,0.07365390317942054
All_Customers,Random Forest,Frequency of SMS,0.05094608145776039
All_Customers,Random Forest,Subscription Length,0.04042696503600476
All_Customers,Random Forest,Age,0.014412859482590657
All_Customers,Random Forest,Charge Amount,0.012118935582948298
All_Customers,Random Forest,Call Failure,0.008155670949330977
All_Customers,Random Forest,Tariff Plan,0.001008102313120082
